,target,Open,Close,combinedProfit,combinedBuy,combinedMoney,tweetProfit,tweetBuy,tweetMoney,headlineProfit,headlineBuy,headlineMoney
0,CSCO,56.22999954223633,56.2400016784668,3.000640869140625,300,16868.9998626709,0.0,0,0.0,5.001068115234375,500,28114.999771118164
1,FAST,55.790000915527344,56.18000030517578,38.99993896484375,100,5579.000091552734,38.99993896484375,100,5579.000091552734,38.99993896484375,100,5579.000091552734
2,FB,312.989990234375,316.9200134277344,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
3,KSU,306.0299987792969,309.760009765625,746.002197265625,200,61205.999755859375,0.0,0,0.0,746.002197265625,200,61205.999755859375
4,ADP,222.3800048828125,222.94000244140625,156.79931640625,280,62266.4013671875,0.0,0,0.0,195.9991455078125,350,77833.00170898438
5,GLW,35.540000915527344,35.63999938964844,0.0,0,0.0,9.999847412109375,100,3554.0000915527344,0.0,0,0.0
6,EXPE,163.89999389648438,164.25999450683594,50.40008544921875,140,22945.999145507812,0.0,0,0.0,75.60012817382812,210,34418.99871826172
7,MHK,193.6699981689453,199.05999755859375,754.5999145507812,140,27113.799743652344,0.0,0,0.0,1131.8998718261719,210,40670.699615478516
8,ALGN,658.3900146484375,631.7999877929688,-1063.60107421875,40,26335.6005859375,-265.9002685546875,10,6583.900146484375,-1329.5013427734375,50,32919.500732421875
9,SEE,58.2599983215332,59.0099983215332,75.0,100,5825.99983215332,0.0,0,0.0,75.0,100,5825.99983215332
